     1        2        3        4  
   3.872    3.596    3.411    2.620
   4.273    5.061    4.834    5.384
   3.522    2.451    3.156    3.859
   3.907    5.055    5.226    3.177
   3.318    3.941    6.651    3.677
   4.614    4.757    2.449    5.160
   1.912    2.444    3.931    5.023
   4.676    2.599    5.095    5.430
   3.602    3.045    4.292    4.832
   4.353    4.851    4.288    5.477
   3.683    2.903    5.686    3.444
   6.258    2.185    3.768    3.118
   3.018    4.848    4.671    5.568
   3.387    3.559    3.633    3.435
   4.214    3.573    4.616    5.183
   2.192    2.806    3.777    4.392
   5.089    4.123    1.893    3.409
   3.380    3.298    3.076    3.883
   4.495    3.744    2.398    5.052
   3.849    2.725    5.691    4.881
   4.194    3.439    2.801    2.883
   2.433    4.698    3.857    2.753
   4.497    2.965    4.900    5.996
   4.855    4.562    4.544    3.444
   5.371    5.625    2.765    3.988
   2.591    4.102    4.030    4.566
   4.062    5.252    4.404    5.971
   5.010    5.217    4.418    2.766
   4.942    4.400    3.651    3.485
   4.849    5.238    4.145    3.437
   4.611    4.143    3.978    2.994
   4.378    5.291    5.867    4.105
   3.980    3.837    4.616    5.033
   2.320    3.727    4.410    3.581
   3.691    3.237    4.023    5.021
   4.875    4.675    3.509    2.883
   5.269    3.993    4.404    4.813
   3.579    3.085    2.703    4.654
   3.691    5.581    2.993    4.662
   3.358    2.972    3.106    3.779
   4.439    3.371    4.478    3.333
   4.830    3.566    4.074    3.918
   1.387    2.544    2.936    2.725
   2.882    4.751    4.830    3.311
   4.591    3.554    3.652    4.715
   4.248    3.828    4.416    3.253
   3.656    4.868    5.209    4.600
   3.450    2.972    4.675    2.595
   3.764    5.331    4.213    4.836
   2.481    2.109    2.974    4.992
   2.690    3.883    3.027    2.803
   2.940    4.570    4.718    3.600
   3.231    4.330    4.229    1.614
   3.992    3.566    3.680    4.595
   2.709    4.214    4.172    4.359
   4.193    2.213    4.207    4.901
   4.629    2.147    2.672    4.815
   3.229    4.444    5.327    4.152
   4.840    2.668    3.880    5.679
   2.932    2.891    4.815    4.938
   2.589    4.977    2.714    4.009
   3.629    5.081    3.240    4.054
   3.502    5.276    2.546    5.609
   3.185    4.004    4.727    4.768
   4.868    3.075    1.197    2.704
   4.126    3.752    3.780    4.838
   3.612    3.844    4.279    3.309
   5.543    4.949    4.233    3.653
   5.309    3.057    4.258    3.974
   5.155    4.666    5.019    3.184
   2.638    5.329    4.278    2.301
   4.243    3.543    4.146    4.819
   2.973    2.360    3.793    2.259
   4.822    4.145    2.242    3.425
   2.812    4.724    5.044    4.683
   5.096    2.613    5.057    3.374
   4.772    4.543    4.089    3.992
   3.912    2.960    3.620    3.218
   2.840    4.100    1.431    3.506
   1.572    4.082    4.762    3.067
